mean_norm_loaded_hipjoint_moment,std_norm_loaded_hipjoint_moment,mean_norm_loaded_kneejoint_moment,std_norm_loaded_kneejoint_moment,mean_norm_loaded_hipjoint_power,std_norm_loaded_hipjoint_power,mean_norm_loaded_kneejoint_power,std_norm_loaded_kneejoint_power,mean_loaded_hipjoint_speed,std_loaded_hipjoint_speed,mean_loaded_kneejoint_speed,std_loaded_kneejoint_speed,mean_loaded_hipjoint_kinematics,std_loaded_hipjoint_kinematics,mean_loaded_kneejoint_kinematics,std_loaded_kneejoint_kinematics,mean_norm_noload_hipjoint_moment,std_norm_noload_hipjoint_moment,mean_norm_noload_kneejoint_moment,std_norm_noload_kneejoint_moment,mean_norm_noload_hipjoint_power,std_norm_noload_hipjoint_power,mean_norm_noload_kneejoint_power,std_norm_noload_kneejoint_power,mean_noload_hipjoint_speed,std_noload_hipjoint_speed,mean_noload_kneejoint_speed,std_noload_kneejoint_speed,mean_noload_hipjoint_kinematics,std_noload_hipjoint_kinematics,mean_noload_kneejoint_kinematics,std_noload_kneejoint_kinematics
0.794176519,0.235194923,-0.429292402,0.109891288,-0.202209118,0.251645383,1.105659191,0.440607659,-0.22153791,0.281711164,-2.526205051,0.51407405,37.758884,4.217487204,8.718078028,3.455385409,0.817212743,0.1680631,-0.415478708,0.082428971,-0.196712089,0.469990072,1.325602771,0.507726456,-0.187148439,0.549424421,-3.108308567,0.782591977,31.9296791,4.329602451,7.881082366,2.533588488
0.789531797,0.235032306,-0.419017209,0.10939098,-0.204181068,0.251700136,1.090670709,0.433880692,-0.224646284,0.282205992,-2.554614695,0.509527624,37.77381553,4.219431964,8.891527049,3.471348829,0.809540458,0.167662959,-0.402842215,0.081575991,-0.193779139,0.461619362,1.293412719,0.494930006,-0.184726527,0.547376477,-3.128594945,0.782109887,31.94100491,4.317181544,8.082577523,2.526896955
0.783999055,0.234718066,-0.408008549,0.10886646,-0.205701384,0.251487204,1.072576213,0.426591376,-0.227489748,0.282799401,-2.581525588,0.505187425,37.78896692,4.221206321,9.066880962,3.487394706,0.801007059,0.167447033,-0.38951398,0.080795455,-0.190518448,0.452638508,1.257910401,0.481807017,-0.182068936,0.545019755,-3.147236288,0.781614404,31.95216992,4.305204641,8.285327019,2.520759175
0.777733179,0.234283423,-0.396354964,0.108323075,-0.206799269,0.25104818,1.051628721,0.418879636,-0.230065557,0.283485772,-2.606967184,0.501073467,37.80431445,4.222813679,9.244017646,3.503495122,0.791740605,0.167453025,-0.375565207,0.080081951,-0.186963882,0.443153457,1.219352631,0.468480156,-0.179172613,0.542353573,-3.164235189,0.781106034,31.96315464,4.293690377,8.489247084,2.515155882
0.770877885,0.233753581,-0.384133246,0.107754484,-0.20749849,0.250417548,1.028058914,0.410850398,-0.232365367,0.284256545,-2.630956968,0.4971892,37.8198432,4.224262541,9.422840488,3.519566151,0.781896947,0.167713725,-0.361085257,0.079441902,-0.183149978,0.43328143,1.178080183,0.455088241,-0.176033194,0.539382196,-3.179615246,0.780590434,31.9739473,4.282647255,8.694233718,2.510112917
0.763610541,0.233153105,-0.371430577,0.107174843,-0.207832776,0.249637316,1.00211157,0.402670604,-0.234374594,0.285109191,-2.65348548,0.493539073,37.8355409,4.22555613,9.603274696,3.535644101,0.771638679,0.168244315,-0.346168362,0.078866329,-0.179116429,0.423137705,1.134454978,0.441714899,-0.17265052,0.536110476,-3.193410739,0.780050673,31.98453324,4.272081538,8.900172962,2.505606296
0.756089819,0.232511803,-0.358334281,0.106581189,-0.207833601,0.248739886,0.974051373,0.39442716,-0.236086742,0.286032446,-2.674567553,0.490107957,37.85137667,4.226682758,9.785224477,3.551709083,0.761122957,0.169063511,-0.330902383,0.078352136,-0.174903169,0.412832352,1.0888196,0.428452632,-0.169020067,0.532542963,-3.20563399,0.779477648,31.9948924,4.262001089,9.10696686,2.501638346
0.748462522,0.231863167,-0.344926804,0.105967898,-0.20753699,0.24775911,0.94416406,0.386219121,-0.237499927,0.287026916,-2.694238745,0.486909183,37.86733037,4.227658623,9.968576092,3.56771441,0.75049616,0.170182759,-0.315372193,0.077900729,-0.170553611,0.402476043,1.041538388,0.415439409,-0.165142081,0.528688944,-3.216326911,0.7788665,32.00500976,4.252415628,9.31449772,2.498216228
0.740907137,0.23122077,-0.331296644,0.105331638,-0.20697924,0.246723735,0.912737564,0.378140798,-0.238602794,0.288081535,-2.712502013,0.483941201,37.88338576,4.228486975,10.1532328,3.583659591,0.739892517,0.171601545,-0.299651724,0.077504518,-0.166107195,0.392162408,0.99292907,0.402765764,-0.161018104,0.524556982,-3.225515009,0.778225719,32.01486866,4.243334361,9.522664047,2.495332288
0.733581696,0.230609201,-0.317526349,0.104684872,-0.206196806,0.245670742,0.880036776,0.370276075,-0.23938685,0.289190679,-2.729363999,0.481189883,37.89952629,4.229170305,10.33910506,3.599574361,0.729436824,0.173298421,-0.283810497,0.0771464,-0.161591267,0.381970838,0.943282321,0.390470499,-0.156645126,0.520153293,-3.233226555,0.777548107,32.02445546,4.234758665,9.731377632,2.492981273
0.726598972,0.230060246,-0.303682392,0.104043729,-0.205217503,0.24463081,0.846307399,0.362712285,-0.239851785,0.290351924,-2.744866645,0.478672212,37.91572109,4.229716138,10.52608576,3.615449571,0.719248379,0.175249284,-0.267913345,0.076807423,-0.157030496,0.3719744,0.892878884,0.378567754,-0.152020878,0.515484127,-3.239488259,0.77682263,32.0337566,4.226693409,9.940546825,2.491158547
0.720052646,0.229594425,-0.289809456,0.103406497,-0.204060616,0.243610373,0.811722982,0.355477871,-0.239989161,0.291545297,-2.759023344,0.476367067,37.93195237,4.230125752,10.71409602,3.63121584,0.709439305,0.177428948,-0.252016381,0.076467895,-0.152446169,0.362239764,0.841961252,0.367060957,-0.147136684,0.510555316,-3.244292577,0.776053435,32.04274687,4.219155349,10.15008784,2.489863863
0.714047758,0.229212335,-0.275955989,0.102786802,-0.202748721,0.242629905,0.776467946,0.348615646,-0.239788111,0.292765184,-2.771833494,0.474249907,37.94819416,4.230401364,10.90303149,3.646906271,0.700118243,0.179827843,-0.236177237,0.076120323,-0.147854743,0.35281138,0.790787882,0.355945739,-0.141991799,0.505375467,-3.247679927,0.775230794,32.05140999,4.212133263,10.3599106,2.489099815
0.70865099,0.228931694,-0.262157807,0.102200116,-0.201292817,0.241703157,0.740687263,0.342181177,-0.239241051,0.294012196,-2.78330517,0.4723496,37.96442343,4.230546618,11.09282663,3.66253051,0.691368596,0.182407685,-0.220446187,0.075748633,-0.143265766,0.343731506,0.739603514,0.345218962,-0.136594601,0.499955664,-3.249704426,0.774342136,32.05973732,4.205628622,10.56990844,2.48885998
